sep=,
"ID","Title","Automation Type","Endpoint","Postcondition","Preconditions","Priority","References","Status","Steps","Steps (Expected Result)","Steps (Step)","Suite","Summary","Test Type","Type"
"C19146794","Delta Report: Delta: Open","","","","Delta auto-apply configuration:
- Delta= Hardware Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_HARDWARE_DATA = Y
SYNCHRONIZE_DATA = N


1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed
","Medium",""," Ready for review","1. 1. Open Administration module
2. Open Delta reports: Delta
3. Set necessary Search restrictions
4. Click Search
5. Check that no errors on Double click by item in the grid,
No Context menu command: Open
Expected Result:
![](index.php?/attachments/get/12063)","1. ![](index.php?/attachments/get/12063)","1. 1. Open Administration module
2. Open Delta reports: Delta
3. Set necessary Search restrictions
4. Click Search
5. Check that no errors on Double click by item in the grid,
No Context menu command: Open","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146796","Delta Report: Delta: Grouping by Group ID","","","","Delta auto-apply configuration:
- Delta= Hardware Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_HARDWARE_DATA = Y
SYNCHRONIZE_DATA = N

1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed
","Medium",""," Ready for review","1. 1. Open Administration module
2. Open Delta reports: Delta
3. Set necessary Search restrictions
4. Click Search
5. Check that data in the table is corretly grouped by Group ID
Expected Result:
Data in the table is corretly grouped by Group ID

![](index.php?/attachments/get/12064)","1. Data in the table is corretly grouped by Group ID

![](index.php?/attachments/get/12064)","1. 1. Open Administration module
2. Open Delta reports: Delta
3. Set necessary Search restrictions
4. Click Search
5. Check that data in the table is corretly grouped by Group ID","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146798","Delta Report: Delta Cable: Search","","","","Delta auto-apply configuration:
- Delta= Cable Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_CABLE_DATA = Y
SYNCHRONIZE_DATA =N

1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed
","Medium",""," Ready for review","1. Open Administration module
Open Delta reports: Delta Cable
Set necessary Search restrictions
Click Search
Check that correct data is loaded
Expected Result:
![](index.php?/attachments/get/12065)","1. ![](index.php?/attachments/get/12065)","1. Open Administration module
Open Delta reports: Delta Cable
Set necessary Search restrictions
Click Search
Check that correct data is loaded","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146799","Delta Report: Delta Cable: Open","","","","Delta auto-apply configuration:
- Delta= Cable Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_CABLE_DATA = Y
SYNCHRONIZE_DATA =N

1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed
","Medium",""," Ready for review","1. Open Administration module
Open Delta reports: Delta Cable
Set necessary Search restrictions
Click Search
Check that no errors on Double click by item in the grid, No Context menu command: Open
Expected Result:
no errors on Double click by item in the grid, No Context menu command: Open","1. no errors on Double click by item in the grid, No Context menu command: Open","1. Open Administration module
Open Delta reports: Delta Cable
Set necessary Search restrictions
Click Search
Check that no errors on Double click by item in the grid, No Context menu command: Open","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146813","Delta Report: Delta Service: Search","","","","Delta auto-apply configuration:
- Delta= Telco Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_TELCO_SERVICE_DATA
LOAD_TELCO_LINKS = Y
SYNCHRONIZE_DATA = N

1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed
","Medium",""," Ready for review","1. Open Administration module
Open Delta reports: Delta Service
Set necessary Search restrictions
Click Search
Check that correct data is loaded
Expected Result:
Correct data is loaded

![](index.php?/attachments/get/12066)","1. Correct data is loaded

![](index.php?/attachments/get/12066)","1. Open Administration module
Open Delta reports: Delta Service
Set necessary Search restrictions
Click Search
Check that correct data is loaded","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146814","Delta Report: Delta Service: Open","","","","Delta auto-apply configuration:
- Delta= Telco Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_TELCO_SERVICE_DATA
LOAD_TELCO_LINKS = Y
SYNCHRONIZE_DATA = N

1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed
","Medium",""," Ready for review","1. Open Administration module
Open Delta reports: Delta Service
Set necessary Search restrictions
Click Search
Check that no errors on Double click by item in the grid, No Context menu command: Open
Expected Result:
no errors on Double click by item in the grid, No Context menu command: Open","1. no errors on Double click by item in the grid, No Context menu command: Open","1. Open Administration module
Open Delta reports: Delta Service
Set necessary Search restrictions
Click Search
Check that no errors on Double click by item in the grid, No Context menu command: Open","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146911","Delta auto-apply configuration: Search","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click on Search button
Specify Search Restrictions and click Search
Expected Result:
Correct data is displayed","1. Correct data is displayed","1. Click on Search button
Specify Search Restrictions and click Search","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146913","Delta auto-apply configuration: Duplicate","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click on Search button
Select some item in the grid and open it
Click Duplicate button
Check that values are copied from Original item
Expected Result:
values are copied from Original item","1. values are copied from Original item","1. Click on Search button
Select some item in the grid and open it
Click Duplicate button
Check that values are copied from Original item","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146915","Delta auto-apply configuration: Open","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click on Search button
Select some item in the grid click Open button or Double click by item
Check that item's view is displayed
Expected Result:
item's view is displayed","1. item's view is displayed","1. Click on Search button
Select some item in the grid click Open button or Double click by item
Check that item's view is displayed","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146917","Delta auto-apply configuration: Context menu: Export","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Draft","1. Click on Search button
Select some item in the grid
Execute Context command: Export

Check that data is correctly exported to AutoApplyExport.xlsx
Expected Result:
data is correctly exported to AutoApplyExport.xlsx","1. data is correctly exported to AutoApplyExport.xlsx","1. Click on Search button
Select some item in the grid
Execute Context command: Export

Check that data is correctly exported to AutoApplyExport.xlsx","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146918","Delta auto-apply configuration: Context menu: Apply Configuration","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Draft","1. Click on Search button
Select some item in the grid
Execute Context command: Apply Configuration
Open Delta report which is affected by selected AAConfiguration
(e.g. for Cable AAConfiguration - Open Delta Cable report)

Check that command is executed correctly:
Approve Check box is set to ON

Expected Result:
command is executed correctly","1. command is executed correctly","1. Click on Search button
Select some item in the grid
Execute Context command: Apply Configuration
Open Delta report which is affected by selected AAConfiguration
(e.g. for Cable AAConfiguration - Open Delta Cable report)

Check that command is executed correctly:
Approve Check box is set to ON","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146919","Delta auto-apply configuration: Item View: Activ Checkbox","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click on Search button
Select some item in the grid and open it
Set Active checkbox ON / OFF
Click Save button 
Execute some Job with appropriate configuration and check:
Active checkbox ON: AAConfiguration is executed
Active checkbox OFF: AAConfiguration is not executed
Check that command is executed correctly
Expected Result:
command is executed correctly","1. command is executed correctly","1. Click on Search button
Select some item in the grid and open it
Set Active checkbox ON / OFF
Click Save button 
Execute some Job with appropriate configuration and check:
Active checkbox ON: AAConfiguration is executed
Active checkbox OFF: AAConfiguration is not executed
Check that command is executed correctly","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146867","Mapping: Search","","","","1. Open Administration module
2. Open Tools -> Mapping","Medium",""," Ready for review","1. Click Search button
Check that Search/Search with Restrictions work
Expected Result:
![](index.php?/attachments/get/12090)","1. ![](index.php?/attachments/get/12090)","1. Click Search button
Check that Search/Search with Restrictions work","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146869","Mapping: Context menu: Open","","","","1. Open Administration module
2. Open Tools -> Mapping
3. Click Search
4. Select some item in the grid
5. Open Context menu","Medium",""," Ready for review","1. Execute Open command
Expected Result:
![](index.php?/attachments/get/12092)

Item is opened in separate tab","1. ![](index.php?/attachments/get/12092)

Item is opened in separate tab","1. Execute Open command","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146870","Mapping: Context menu: Duplicate","","","","1. Open Administration module
2. Open Tools -> Mapping
3. Click Search
4. Select some item in the grid
5. Open Context menu","Medium",""," Ready for review","1. Execute Duplicate command
Check that all data is copied from original item
Expected Result:
all data is copied from original item","1. all data is copied from original item","1. Execute Duplicate command
Check that all data is copied from original item","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146872","Mapping: Context menu: Export","","","","1. Open Administration module
2. Open Tools -> Mapping
3. Click Search
4. Select some item in the grid
5. Open Context menu","Medium",""," Ready for review","1. Execute Export command
Check that data is correctly exported in xls file
Expected Result:
data is correctly exported in xls file","1. data is correctly exported in xls file","1. Execute Export command
Check that data is correctly exported in xls file","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19640882","Verify that login and logout are successfull"," Selenide","/axis/api/rest/businessGateway/login","","- GUI is running, which is proved by [C19276350]","High",""," Final","1. User name and password are filled into the empty fiels
Expected Result:
Error code of returned JSON is 0 and sessionId is there as in image:
![](index.php?/attachments/get/12227)
![](index.php?/attachments/get/12394)

2. Desired user group and mandator are selected
Expected Result:
![](index.php?/attachments/get/12395)

3. Login is approved with click on ""ok""
Expected Result:
Home Screen of Command is opened
4. User returns to home screen of command by closing the open module he is in right now
Expected Result:
Start page is shown
5. User clicks on Logout-Button
Expected Result:
User is on login page again","1. Error code of returned JSON is 0 and sessionId is there as in image:
![](index.php?/attachments/get/12227)
![](index.php?/attachments/get/12394)

2. ![](index.php?/attachments/get/12395)

3. Home Screen of Command is opened
4. Start page is shown
5. User is on login page again","1. User name and password are filled into the empty fiels
2. Desired user group and mandator are selected
3. Login is approved with click on ""ok""
4. User returns to home screen of command by closing the open module he is in right now
5. User clicks on Logout-Button","CIF (Command Integration Framework) (Automated testing)","login and logout on GUI is done"," Smoke test","Automated"
"C18871730","Chassis: Create Type Mapping"," API","","Mapping is stored in database","SOURCE_SYSTEM CIF_AUTOMATED_TEST is in data lexicon CDDMOD_SOURCE_SYSTEM and data lexicon exists","Medium",""," Final","1. 1. Mapping should be created via BGE
2. check if mapping is saved correctly via BGE
Expected Result:
Mapping is stored in database","1. Mapping is stored in database","1. 1. Mapping should be created via BGE
2. check if mapping is saved correctly via BGE","CIF (Command Integration Framework) (Automated testing)","Mapping should be created for chassis"," Integration test","ToBeAutomated"
"C18943135","Chassis: Create Mapping Values for Type Mapping"," API","","","- Mapping needs to be created in [C18871730] 
- elid of mapping is needed
- SOURCE_SYSTEM CIF_AUTOMATED_TEST is in data lexicon CDDMOD_SOURCE_SYSTEM and data lexicon exists","Medium",""," Final","1. 1. Create Mapping values
2. save Mapping values for mapping via BGE
3. check if mapping values are stored via BGE
Expected Result:
mapping values are created and stored","1. mapping values are created and stored","1. 1. Create Mapping values
2. save Mapping values for mapping via BGE
3. check if mapping values are stored via BGE","CIF (Command Integration Framework) (Automated testing)",""," Integration test","ToBeAutomated"
"C19146871","Mapping: Context menu: Delete","","","","1. Open Administration module
2. Open Tools -> Mapping
3. Click Search
4. Select some item in the grid
5. Open Context menu","Medium",""," Ready for review","1. Execute Delete command
Click Yes/No in confirmation dialog
Expected Result:
Command is executed correctly","1. Command is executed correctly","1. Execute Delete command
Click Yes/No in confirmation dialog","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146874","Mapping: Mapping item: Values: Modify","","","","1. Open Administration module
2. Open Tools -> Mapping
3. Click Search
4. Select some item in the grid and open it
5. Open Values section on the left","Medium",""," Ready for review","1. Click Modify button
Specify new values
Click OK / Close
Check that command is executed correctly
Expected Result:
![](index.php?/attachments/get/12094)


command is executed correctly","1. ![](index.php?/attachments/get/12094)


command is executed correctly","1. Click Modify button
Specify new values
Click OK / Close
Check that command is executed correctly","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19146875","Mapping: Mapping item: Values: Remove","","","","1. Open Administration module
2. Open Tools -> Mapping
3. Click Search
4. Select some item in the grid and open it
5. Open Values section on the left","Medium",""," Ready for review","1. Execute Remove command
Click Save
Check that command is executed correctly
Expected Result:
command is executed correctly","1. command is executed correctly","1. Execute Remove command
Click Save
Check that command is executed correctly","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19786074","Smoke test: verify delta calculation is working basically","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
"C19980204","Verify that entries in delta table are grouped by group ID","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
"C19980205","Verify that entries in delta cable table are grouped by group ID","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
"C19980206","Verify that entries in delta service table are grouped by group ID","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
"C19146912","Delta auto-apply configuration Cable delta: New","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click New button
Specify required parameters
Click Save, check that item is created
Expected Result:
![](index.php?/attachments/get/12115)","1. ![](index.php?/attachments/get/12115)","1. Click New button
Specify required parameters
Click Save, check that item is created","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19983614","Create Delta Auto-apply Condition for  cable delta","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
"C19147246","Delta Auto-apply: Cable Delta (CREATE/UPDATE/DELETE)"," API","","","Delta auto-apply configuration:
- Delta= Cable Delta
- Active = ON
- Delta auto-apply condition:
	AND Action IN CREATE,UPDATE,DELETE
	OR Source system = e.g. TEST_SK1


Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_CABLE_DATA = Y
SYNCHRONIZE_DATA =N


","Medium",""," Ready for review","1. 1. Open necessary Delta Report
2. Click Search
3. Verify that Approved checkbox is set corretly 
Expected Result:
![](index.php?/attachments/get/12114)","1. ![](index.php?/attachments/get/12114)","1. 1. Open necessary Delta Report
2. Click Search
3. Verify that Approved checkbox is set corretly","CIF (Command Integration Framework) (Automated testing)","1. Open Administration module
2. Open 'Delta Auto-apply configuration' section
3. Create Auto-apply configuration as described in Preconditions
4. In Search view execute for this Auto-apply configuration Context command: 
<Apply configuration>"," Integration test","Manual"
"C19980215","Delta auto-apply configuration Cable Delta: Delete","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click on Search button
Select some item in the grid
Clik Delete button
Check that item is deleted
Expected Result:
item is deleted","1. item is deleted","1. Click on Search button
Select some item in the grid
Clik Delete button
Check that item is deleted","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19980207","Delta auto-apply configuration Common Delta: New","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click New button
Specify required parameters
Click Save, check that item is created
Expected Result:
![](index.php?/attachments/get/12115)","1. ![](index.php?/attachments/get/12115)","1. Click New button
Specify required parameters
Click Save, check that item is created","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19983615","Create Delta Auto-apply Condition for common delta","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
"C19147247","Delta Auto-apply: Common Delta  (CREATE,UPDATE,DELETE)","","","","Delta auto-apply configuration:
- Delta= Common Delta
- Active = ON
- Delta auto-apply condition:
	AND Action IN CREATE,UPDATE,DELETE
	AND Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_COMMON_DATA = Y
SYNCHRONIZE_DATA =N

","Medium",""," Ready for review","1. 1. Open necessary Delta Report (or Report created via Query Editor)
2. Click Search
3. Verify that Approved checkbox is set corretly 
Expected Result:
Approve Checkbox (Flag) is set correctly in Delta Report","1. Approve Checkbox (Flag) is set correctly in Delta Report","1. 1. Open necessary Delta Report (or Report created via Query Editor)
2. Click Search
3. Verify that Approved checkbox is set corretly","CIF (Command Integration Framework) (Automated testing)","1. Open Administration module
2. Open 'Delta Auto-apply configuration' section
3. Create Auto-apply configuration as described in Preconditions
4. In Search view execute for this Auto-apply configuration Context command: 
<Apply configuration>","","Manual"
"C19980216","Delta auto-apply configuration Common Delta: Delete","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click on Search button
Select some item in the grid
Clik Delete button
Check that item is deleted
Expected Result:
item is deleted","1. item is deleted","1. Click on Search button
Select some item in the grid
Clik Delete button
Check that item is deleted","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19980208","Delta auto-apply configuration Common Link Delta: New","","","","1. Open Administration module
2. Click on Delta auto-apply configuration ","Medium",""," Ready for review","1. Click New button
Specify required parameters
Click Save, check that item is created
Expected Result:
![](index.php?/attachments/get/12115)","1. ![](index.php?/attachments/get/12115)","1. Click New button
Specify required parameters
Click Save, check that item is created","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19983751","Create Delta Auto-apply Condition for common link delta","","","","","Medium","","","","","","CIF (Command Integration Framework) (Automated testing)","","","ToBeAutomated"
